check_id,category,status,observed,required,physics_promotion_allowed,notes
FU96_LINEAGE_LINEAR_COALBEDO_EQUATION,HISTORICAL_EQUATION_FAMILY,PASS_QUALIFIED,"alpha_linear = sum(alpha_lambda * beta_lambda * S_lambda * dLambda) / sum(beta_lambda * S_lambda * dLambda), where alpha=1-SSA and beta is extinction coefficient",SOLAR_WEIGHTED_LINEAR_COALBEDO_EQUATION_PINNED,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_LOG_COALBEDO_EQUATION,HISTORICAL_EQUATION_FAMILY,PASS_QUALIFIED,ln(alpha_log) = sum(ln(alpha_lambda) * beta_lambda * S_lambda * dLambda) / sum(beta_lambda * S_lambda * dLambda),SOLAR_WEIGHTED_LOG_COALBEDO_EQUATION_PINNED,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_MIXED_COALBEDO_EQUATION,HISTORICAL_EQUATION_FAMILY,PASS_QUALIFIED,"alpha_eff = h*alpha_linear + (1-h)*alpha_log; h in [0,1]; h near 1 for weak absorption and decreases as absorption strengthens",LINEAR_LOG_MIXING_EQUATION_FAMILY_PINNED,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_COALBEDO_EXTINCTION_WEIGHTING_TRANSCRIPTION_CORRECTED,PROVENANCE_CONTRACT_CORRECTION,PASS_CORRECTED,Step3Q linear/log coalbedo equations now retain beta_lambda extinction weighting in numerator and denominator in addition to TOA solar irradiance and spectral-interval weighting,FU96_LINEAGE_COALBEDO_EQUATIONS_MUST_USE_BETA_TIMES_SOLAR_WEIGHTING,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_ASYMMETRY_SCATTERING_WEIGHTED_EQUATION,HISTORICAL_EQUATION_FAMILY,PASS_QUALIFIED,g_eff = sum(g_lambda * omega_lambda * beta_lambda * S_lambda * dLambda) / sum(omega_lambda * beta_lambda * S_lambda * dLambda),FU96_LINEAGE_BAND_MEAN_G_MUST_BE_SCATTERING_WEIGHTED,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_SIMPLE_SOLAR_ONLY_COALBEDO_AVERAGE,SCOPE_GUARD,PASS_FORBIDDEN,false,MUST_NOT_DROP_BETA_LAMBDA_EXTINCTION_WEIGHTING_FROM_LINEAR_OR_LOG_COALBEDO_AVERAGES,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_H_EMPIRICAL_SELECTION,HISTORICAL_EQUATION_FAMILY,PASS_QUALIFIED,Chou et al. 1998 determines optimal h empirically by trial and error to minimize TOA/surface flux differences against high-resolution calculations,H_IS_EMPIRICAL_FLUX_CALIBRATION_PARAMETER_NOT_DERIVABLE_FROM_ABSORPTION_STRENGTH_ALONE,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_H_DOMAIN_VALUES_CHOU1998,H_DOMAIN_CONSTRAINT,PASS_QUALIFIED,For ice clouds Chou et al. 1998 Table 1 gives h=1 for 0.18-0.70 um and h=2/3 for 0.70-1.22 um,FU_LINEAGE_H_DOMAIN_VALUES_PINNED_AS_CONSTRAINT_NOT_RRTM_GENERATOR,False,https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
FU96_LINEAGE_H_DOMAIN_VALUES_CHOU2002,H_DOMAIN_CONSTRAINT,PASS_QUALIFIED,Chou et al. 2002 explicitly gives h=1 for bands 1-8 (0.175-0.700 um) and h=2/3 for band 9 (0.700-1.220 um),FU_LINEAGE_H_DOMAIN_VALUES_INDEPENDENTLY_RESTATED,False,https://doi.org/10.1029/2002JD002061
FU96_PRIMARY_VISIBLE_NIR_0P700UM_SPECTRAL_BOUNDARY,PRIMARY_SPECTRAL_BOUNDARY,PASS_PINNED,Fu96-lineage solar cirrus parameterization uses adjacent bands 0.2-0.7 um and 0.7-1.41 um; the 0.700 um boundary is therefore a primary parameterization boundary rather than an arbitrary later split,FU96_PRIMARY_0P700UM_BOUNDARY_MUST_BE_PRESERVED_IN_HISTORICAL_RECONSTRUCTION,False,https://doi.org/10.1175/2007JAS2289.1
RRTMG_BAND25_WITHIN_SINGLE_FU96_PRIMARY_BAND,SPECTRAL_GEOMETRY,PASS_QUALIFIED,RRTMG band 25 spans 0.441501-0.625000 um and lies wholly inside the Fu96 0.2-0.7 um primary solar band,BAND25_DOES_NOT_CROSS_FU96_0P700UM_PRIMARY_BOUNDARY,False,https://doi.org/10.1175/2007JAS2289.1; https://doi.org/10.1175/JAS-D-13-020.1
RRTMG_BAND24_STRADDLES_FU96_PRIMARY_0P700UM_BOUNDARY,SPECTRAL_GEOMETRY,PASS_QUALIFIED,RRTMG band 24 spans 0.625000-0.778210 um and therefore straddles the Fu96 primary 0.700 um boundary,BAND24_RECONSTRUCTION_MUST_PRESERVE_BOTH_SIDES_OF_FU96_PRIMARY_BOUNDARY,False,https://doi.org/10.1175/2007JAS2289.1; https://doi.org/10.1175/JAS-D-13-020.1
RRTMG_BAND24_FINAL_TABLE_INVERSE_REAVERAGING_NONUNIQUENESS,INVERSE_PROBLEM_BARRIER,PASS_QUALIFIED,"Because Fu96-lineage co-albedo uses mixed linear/log moments and band 24 crosses the 0.700 um primary boundary, archived final broad-band values do not retain the separate beta*S-weighted linear and logarithmic spectral moments needed to uniquely reconstruct the historical cross-boundary average",FINAL_BROADBAND_TABLES_ALONE_CANNOT_UNIQUELY_RECOVER_BAND24_PREAVERAGING_REALIZATION,False,https://doi.org/10.1175/1520-0442(1996)009<2058:AAPOTS>2.0.CO;2; https://doi.org/10.1175/2007JAS2289.1; https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2
RRTMG_BAND25_H_DOMAIN_CONSTRAINT,H_DOMAIN_CONSTRAINT,PASS_QUALIFIED,"RRTMG band 25 is 16000-22650 cm-1 = 0.441501-0.625000 um, entirely inside the Fu-lineage weak-absorption h=1 domain below 0.700 um",BAND25_H1_DOMAIN_CONSTRAINT_QUALIFIED_BUT_ARCHIVED_RRTMG_GENERATOR_IDENTITY_NOT_PROVEN,False,https://github.com/AER-RC/RRTMG_SW; https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2; https://doi.org/10.1029/2002JD002061
RRTMG_BAND24_H_DOMAIN_BOUNDARY_CROSSING,H_DOMAIN_CONSTRAINT,PASS_QUALIFIED,RRTMG band 24 is 12850-16000 cm-1 = 0.625000-0.778210 um and crosses the 0.700 um Fu-lineage h-domain boundary: 0.625-0.700 lies in h=1 domain while 0.700-0.778210 lies in h=2/3 domain,BAND24_CANNOT_BE_ASSIGNED_ONE_H_FROM_CHOU_DOMAIN_VALUES_WITHOUT_HISTORICAL_RRTM_GENERATOR_RULE,False,https://github.com/AER-RC/RRTMG_SW; https://doi.org/10.1175/1520-0442(1998)011<0202:PFCOAS>2.0.CO;2; https://doi.org/10.1029/2002JD002061
RRTMG_BAND25_EXACT_H_FOR_ARCHIVED_TABLE,EXACT_WEIGHTING_PREREQUISITE,BLOCKED_NOT_PROVEN,"Fu-lineage domain evidence constrains all band-25 wavelengths to h=1, but no source ties that Chou/Fu-lineage h realization byte-for-byte to the archived RRTM/RRTMG Fu96 band-25 table generator",ARCHIVED_RRTM_GENERATOR_IDENTITY_OR_NUMERIC_REPRODUCTION_REQUIRED_BEFORE_EXACT_H_CLAIM,False,
FU96_RRTMG_BAND24_25_H_VALUES,EXACT_WEIGHTING_PREREQUISITE,BLOCKED_NOT_RECOVERED,"Fu-lineage h domains are now constrained; however no authoritative RRTM/RRTMG-specific band-24 historical mixing realization, nor a fully provenance-linked band-25 generator, has been recovered",BAND24_HISTORICAL_MIXING_OR_EQUIVALENT_GENERATOR_AND_BAND25_GENERATOR_IDENTITY_REQUIRED,False,
FU96_HISTORICAL_BAND_SPECIFIC_MIXING_REALIZATION,EXACT_WEIGHTING_PREREQUISITE,BLOCKED_NOT_RECOVERED,The exact band-specific linear/log mixing realization used for the archived RRTM/RRTMG Fu96 tables has not been recovered,BAND_SPECIFIC_FU96_LINEAR_LOG_MIXING_RULE_OR_EQUIVALENT_GENERATOR_REQUIRED,False,
FU96_LINEAGE_SOLAR_IRRADIANCE_WEIGHTING_SEMANTIC,WEIGHTING_SEMANTICS,PASS_CONFIRMED,Fu 2007 states that calculations following Fu 1996 divide the solar spectrum into Fu96 bands and weight data with solar irradiance to obtain band averages,SOLAR_IRRADIANCE_WEIGHTING_SEMANTIC_CLASS_SUPPORTED,False,https://doi.org/10.1175/2007JAS2289.1
RRTMG_SW_BAND_INTEGRATION_FORMULA_SEMANTIC,WEIGHTING_SEMANTICS,PASS_QUALIFIED,Yi 2013 later RRTMG-band ice optics integrates SW properties over wavelength with solar spectrum S(lambda); SSA is derived from integrated scattering/extinction and g is scattering-weighted,LATER_RRTMG_BAND_INTEGRATION_SEMANTIC_QUALIFIED_BUT_NOT_HISTORICAL_FU96_DEFAULT_TABLE_PROVENANCE,False,https://doi.org/10.1175/JAS-D-13-020.1
RRTMG_SW_BAND_LIMITS_24_25_PINNED,SPECTRAL_DOMAIN,PASS_PINNED,RRTMG band 24 = 0.63-0.78 um; band 25 = 0.44-0.63 um in Yi 2013; Baek 2018 independently documents RRTMG spectral-band averaging and band 25 near 0.44-0.63 um,BAND_24_25_LIMITS_PINNED,False,https://doi.org/10.1175/JAS-D-13-020.1; https://doi.org/10.1029/2018MS001398
RRTMG_ICEFLAG3_FU96_DGE_LINEAGE,MODEL_LINEAGE,PASS_PINNED,RRTM/RRTMG SW ICEFLAG=3 uses Fu (1996) generalized effective size Dge; valid 5-140 um,FU96_DGE_LINEAGE_PINNED,False,https://github.com/AER-RC/RRTM_SW/blob/master/rrtm_sw_instructions
RRTMG_FU96_FINAL_BAND_TABLES_PINNED,MODEL_REFERENCE_TABLE,PASS_PINNED,Final band-24/band-25 Fu96 extice3/ssaice3/asyice3 reference tables are available in pinned RRTMG implementation source,FINAL_REFERENCE_TABLES_PINNED,False,https://github.com/geoschem/geos-chem/blob/a4551f9442183bb572b23e9c2d362e2d34420d3a/GeosRad/rrtmg_sw_init.F90; source_sha=0ccf597d6aa3d6ed40ec592560e3ed94b653ef32
RRTM_SW_FU96_POST_AVERAGED_ARCHIVE_PINNED,ARCHIVE_BOUNDARY,PASS_QUALIFIED,"Pinned AER RRTM_SW cldprop.f states that Q. Fu provided high-resolution tables which were appropriately averaged for RRTM_SW bands, and the archived runtime contains the resulting EXTICE3/SSAICE3/ASYICE3/FDLICE3 arrays",POST_AVERAGED_RUNTIME_TABLE_ARCHIVE_BOUNDARY_PINNED,False,https://github.com/AER-RC/RRTM_SW/blob/b1253809ac88ae782964cd030cb202a380032d11/src/cldprop.f; blob_sha=8632f7d1940285665b62fdbb30c69861924251da
RRTM_SW_FU96_46_NODE_DGE_RUNTIME_GRID,ARCHIVE_BOUNDARY,PASS_QUALIFIED,"ICEFLAG=3 runtime interpolation uses 46 stored nodes on the Dge grid 5,8,...,140 um (3 um spacing), confirming the archived object is a compact band table rather than the pre-averaging spectral sample set",POST_AVERAGED_46_NODE_RUNTIME_GRID_PINNED,False,https://github.com/AER-RC/RRTM_SW/blob/b1253809ac88ae782964cd030cb202a380032d11/src/cldprop.f
RRTM_SW_PREAVERAGING_FU96_GENERATOR_PRESENT_IN_PINNED_ARCHIVE,EXACT_WEIGHTING_PREREQUISITE,BLOCKED_NOT_PRESENT,The pinned AER RRTM_SW runtime source contains the post-averaged Fu96 band tables and interpolation logic but does not contain the Q. Fu high-resolution pre-averaging spectral tables or the historical band-averaging generator,AUTHORITATIVE_PREAVERAGING_SOURCE_OR_GENERATOR_REQUIRED,False,https://github.com/AER-RC/RRTM_SW/blob/b1253809ac88ae782964cd030cb202a380032d11/src/cldprop.f
RRTMG_SW_CURRENT_PRE_V5_PUBLIC_RELEASE_AVAILABILITY,PUBLIC_ARCHIVE_BOUNDARY,PASS_QUALIFIED,Current AER RRTMG_SW README states Version 5.0 is the latest release and releases before Version 5.0 are not publicly available in the present public release archive,CURRENT_PUBLIC_RELEASE_AVAILABILITY_BOUNDARY_PINNED; CURRENT_UNAVAILABILITY_MUST_NOT_BE_MISSTATED_AS_HISTORICAL_NONPUBLICATION,False,https://github.com/AER-RC/RRTMG_SW/blob/master/README.md
RRTM_SW_V24_HISTORICALLY_PUBLIC_2002,HISTORICAL_RELEASE_EXISTENCE,PASS_PINNED,ARM 2002 proceedings state RRTM_SW v2.4 had just been publicly released and was available on the AER web site,HISTORICAL_PUBLIC_RELEASE_EXISTENCE_PINNED_SEPARATELY_FROM_CURRENT_ARCHIVE_AVAILABILITY,False,https://www.arm.gov/publications/proceedings/conf12/extended_abs/delamere-js.pdf
RRTM_SW_V25_HISTORICAL_USE_2006,HISTORICAL_RELEASE_EXISTENCE,PASS_PINNED,A 2006 JGR radiative-closure study documents use of RRTM_SW version 2.5 and cites the AER web site,HISTORICAL_V25_EXISTENCE_AND_USE_PINNED_WITHOUT_CLAIMING_CURRENT_DOWNLOAD_AVAILABILITY,False,https://doi.org/10.1029/2005JD006341
RRTM_SW_V25_EXTERNAL_DISTRIBUTION_MIRROR_PINNED,EXTERNAL_ARCHIVAL_LINEAGE,PASS_PINNED,"A third-party GitHub archive preserves an RRTM_SW v2.5-style SW distribution tree with AER update notes, v2.5 makefile identity, source tree, instructions, and examples at a pinned commit",EXTERNAL_MIRROR_PINNED_AS_LINEAGE_EVIDENCE_NOT_AS_BYTE_PROOF_OF_ORIGINAL_AER_TARBALL,False,https://github.com/nickedkins/RRTM-LWandSW-Python-wrapper; commit=a2d974ecefe6f369661bf5a3dfc648f07986ad89
RRTM_SW_V25_UPDATE_NOTE_IDENTITY,EXTERNAL_ARCHIVAL_LINEAGE,PASS_PINNED,Pinned update_rrtm_sw_v2.5.txt states in April 2004 that RRTM_SW v2.4.1 was updated to RRTM_SW v2.5 and directs users to AER web/FTP distribution paths,V25_DISTRIBUTION_IDENTITY_PINNED_FROM_EXTERNAL_MIRROR,False,https://github.com/nickedkins/RRTM-LWandSW-Python-wrapper/blob/a2d974ecefe6f369661bf5a3dfc648f07986ad89/SW/update_rrtm_sw_v2.5.txt; blob_sha=00ac405ca9805ee9fc4fbaad0f0ce3733a72b67b
RRTM_SW_V25_MAKEFILE_VERSION_IDENTITY,EXTERNAL_ARCHIVAL_LINEAGE,PASS_PINNED,Pinned make_rrtm_sw_linux_pgi contains VERSION = v2.5 and CVS Id dated 2004-04-16,V25_BUILD_IDENTITY_PINNED,False,https://github.com/nickedkins/RRTM-LWandSW-Python-wrapper/blob/a2d974ecefe6f369661bf5a3dfc648f07986ad89/SW/makefiles/make_rrtm_sw_linux_pgi; blob_sha=0baee98667f89d05e46ed6138cde0057c6e07393
RRTM_SW_V25_CLDPROP_CVS_PROVENANCE,EXTERNAL_ARCHIVAL_LINEAGE,PASS_PINNED,"External mirror cldprop.f retains CVS provenance: source /storm/rc1/cvsroot/rc/rrtm_sw/src/cldprop.f,v; author jdelamer; revision 2.7; date 2004-04-15 18:42:10",V25_CLOUD_RUNTIME_CVS_PROVENANCE_PINNED,False,https://github.com/nickedkins/RRTM-LWandSW-Python-wrapper/blob/a2d974ecefe6f369661bf5a3dfc648f07986ad89/SW/src/cldprop.f; blob_sha=d7a2efce33cdf5c1f02a66e598c685ef53b7b8c8
RRTM_SW_V25_CLDPROP_SCIENCE_CONTENT_EQUIVALENCE_TO_AER_ARCHIVE,EXTERNAL_ARCHIVAL_LINEAGE,PASS_QUALIFIED,"Line comparison of the pinned 2080-line external v2.5 cldprop.f against pinned AER RRTM_SW cldprop.f found only five differing lines, all CVS keyword expansion/stripping; executable and table content are otherwise line-identical",V25_EXTERNAL_CLOUD_RUNTIME_LINEAGE_MATCH_QUALIFIED_WITHOUT_CLAIMING_ORIGINAL_TARBALL_BYTE_IDENTITY,False,external_blob=d7a2efce33cdf5c1f02a66e598c685ef53b7b8c8; aer_blob=8632f7d1940285665b62fdbb30c69861924251da
AER_OFFICIAL_RRTM_SW_V25_CLDPROP_2004_HISTORY_PINNED,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_PINNED,AER-RC/RRTM_SW records src/cldprop.f commit 356609ea083f9684dc83a56e3f5c96515cb25b19 by jdelamer at 2004-04-15T18:42:10Z; the official blob is 8632f7d1940285665b62fdbb30c69861924251da,OFFICIAL_2004_CLDPROP_HISTORY_AND_BLOB_PINNED,False,https://github.com/AER-RC/RRTM_SW/blob/356609ea083f9684dc83a56e3f5c96515cb25b19/src/cldprop.f; commit=356609ea083f9684dc83a56e3f5c96515cb25b19; blob_sha=8632f7d1940285665b62fdbb30c69861924251da
AER_OFFICIAL_RRTM_SW_V25_TAUMOLDIS_2004_HISTORY_PINNED,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_PINNED,AER-RC/RRTM_SW records src/taumoldis.f commit a43212334fd726dec8d69203be0c7d50fd9ce1b0 by jdelamer at 2004-04-15T18:50:57Z; the official blob is b2b1080fe51b7c3d512de26b4507314fee17ff58,OFFICIAL_2004_TAUMOLDIS_HISTORY_AND_BLOB_PINNED,False,https://github.com/AER-RC/RRTM_SW/blob/a43212334fd726dec8d69203be0c7d50fd9ce1b0/src/taumoldis.f; commit=a43212334fd726dec8d69203be0c7d50fd9ce1b0; blob_sha=b2b1080fe51b7c3d512de26b4507314fee17ff58
RRTM_SW_V25_CLDPROP_CVS_NORMALIZED_OFFICIAL_MIRROR_EQUIVALENCE,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_QUALIFIED,Official AER 2004 cldprop.f and the external mirror import both contain 2080 lines; the only raw differences are CVS keyword collapse/expansion ($Source/$Author/$Revision/$Date and the runtime HVRCLD revision string). After canonical CVS-keyword normalization the complete files are identical,FULL_FILE_EQUIVALENCE_AFTER_CVS_KEYWORD_NORMALIZATION_REQUIRED,False,official_blob=8632f7d1940285665b62fdbb30c69861924251da; mirror_blob=d7a2efce33cdf5c1f02a66e598c685ef53b7b8c8; official_commit=356609ea083f9684dc83a56e3f5c96515cb25b19; mirror_import_commit=040d18018f553faeeae625fd4ef73d50ba0436fb
RRTM_SW_V25_TAUMOLDIS_CVS_NORMALIZED_OFFICIAL_MIRROR_EQUIVALENCE,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_QUALIFIED,Official AER 2004 taumoldis.f and the external mirror import both contain 2054 lines; after canonical CVS-keyword normalization ($Source/$Author/$Revision/$Date) the complete files are identical. The mirror expansion identifies revision 2.5 dated 2004-04-15 18:50:57,FULL_FILE_EQUIVALENCE_AFTER_CVS_KEYWORD_NORMALIZATION_REQUIRED,False,official_blob=b2b1080fe51b7c3d512de26b4507314fee17ff58; mirror_blob=5111a3bb7d981ea8facb4733c2ebb8d7f1308486; official_commit=a43212334fd726dec8d69203be0c7d50fd9ce1b0; mirror_import_commit=040d18018f553faeeae625fd4ef73d50ba0436fb
RRTM_SW_V25_OFFICIAL_SOURCE_TREE_CVS_NORMALIZED_EQUIVALENCE,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_QUALIFIED,The two critical v2.5 provenance anchors used by this qualification (cldprop.f cloud tables/runtime and taumoldis.f solar-source context) are full-file equivalent between AER official 2004 history and the external mirror after removing CVS keyword expansion as a non-science checkout artifact,CRITICAL_SOURCE_TREE_EQUIVALENCE_QUALIFIED_WITHOUT_PROMOTING_ORIGINAL_TARBALL_BYTE_IDENTITY,False,"This is source-tree equivalence for pinned critical files, not proof that the external repository tree or archive bytes are byte-identical to aer_rrtm_sw_v2.5.tar.gz."
AER_OFFICIAL_RRTM_SW_V25_SCIENTIFIC_SOURCE_SET_MANIFEST_PINNED,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_PINNED,AER official 2004 release tree at commit a43212334fd726dec8d69203be0c7d50fd9ce1b0 / tree 24beb15d868c131b81e354ea34b2b409c4a4062e contains 26 Fortran scientific-source files under src/,OFFICIAL_2004_SCIENTIFIC_SOURCE_SET_MANIFEST_PINNED,False,official_commit=a43212334fd726dec8d69203be0c7d50fd9ce1b0; official_tree=24beb15d868c131b81e354ea34b2b409c4a4062e
RRTM_SW_V25_SCIENTIFIC_SOURCE_SET_CVS_NORMALIZED_FULL_FILE_MATCH,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_QUALIFIED,24 of 26 common Fortran scientific-source files are complete-file identical between AER official 2004 history and the external v2.5 import after generic CVS keyword collapse/expansion normalization,FULL_FILE_EQUIVALENCE_FOR_NON_OPERATIONAL_DELTA_SOURCE_SET_REQUIRED,False,official_tree=24beb15d868c131b81e354ea34b2b409c4a4062e; mirror_tree=51b90dfdb83f33f55dc3f23b680af6e327fe1fd8; matched=24/26
RRTM_SW_V25_RRTATM_OPERATIONAL_ONLY_DELTA_QUALIFIED,DOCUMENTED_OPERATIONAL_DELTA,PASS_QUALIFIED,"rrtatm.f has identical line count and, after CVS normalization, differs only at three adjacent lines where the mirror comments out LBLDAT/FTIME/date-time header output calls; no radiative-transfer equation, coefficient table, cloud-optics table, gas-optics table, or spectral-band definition is changed",ONLY_NON_PHYSICS_DATE_TIME_OUTPUT_DELTA_ALLOWED,False,official_blob=74fa6fc4dd352bff71c6f7eafa2ea1b0aa67ee18; mirror_blob=6262d3c1e331d237d7dd47520e8f1e5e713fee51; delta_lines=3
RRTM_SW_V25_RRTM_INPUT_FILENAME_OPERATIONAL_ONLY_DELTA_QUALIFIED,DOCUMENTED_OPERATIONAL_DELTA,PASS_QUALIFIED,"rrtm.f has identical line count and, after CVS normalization, differs only at one OPEN statement filename literal: official INPUT_RRTM versus mirror input_rrtm_MLS; the computation path and scientific equations are otherwise unchanged",ONLY_INPUT_FILENAME_LITERAL_DELTA_ALLOWED,False,official_blob=d4092d27a1e18b6408c1626617afdd84d88eb0c6; mirror_blob=c3ef8c054583a9334b32b04261679eab4f704fe3; delta_lines=1
RRTM_SW_V25_SCIENTIFIC_SOURCE_SEMANTIC_EQUIVALENCE,OFFICIAL_HISTORICAL_SOURCE_TREE,PASS_QUALIFIED,"Across the 26-file Fortran scientific-source set, 24 files are full-file identical after generic CVS-keyword normalization and the remaining two files contain exactly four documented operational-only deltas (three date/time-output comments and one input-filename literal); no scientific source delta was identified",SCIENTIFIC_SEMANTIC_EQUIVALENCE_MAY_BE_QUALIFIED_ONLY_WITH_OPERATIONAL_DELTAS_EXPLICITLY_PRESERVED_AND_RAW_BYTE_IDENTITY_FORBIDDEN,False,"This qualifies scientific-source semantic equivalence for the pinned source set, not whole-repository equality, release-package equality, original tarball identity, or historical pre-averaging generator recovery."
